TRIPID,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,TRPMILES,LOOP_TRIP,TRIPPURP,TRAVDAY,HOMEOWN,HHSIZE,HHFAMINC,HHSTATE,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,CENSUS_D,HH_RACE,EDUC,WORKER,WHYTRP90,R_AGE_IMP,R_SEX_IMP,OBHUR,DBHUR,OBPPOPDN,DBPPOPDN,TRAVELMODE
1,1,1,1,1220,0.352,2,HBSHOP,1,1,1,5,AZ,0,9,1,4,2,1,5,2,10,86,2,S,S,7000,7000,TAXI
2,1,1,2,1330,0.489,2,HBSHOP,1,1,1,5,AZ,0,9,1,4,2,1,5,2,10,86,2,S,S,7000,7000,TAXI
3,2,1,1,900,11.6,2,HBSHOP,6,2,1,1,IL,0,1,1,5,3,2,3,2,10,33,2,U,U,17000,17000,BUS
4,2,1,2,955,10.315,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,17000,17000,RAIL
5,2,1,3,1300,0.02,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,10,33,2,U,U,17000,17000,WALK
6,2,1,4,1335,21.858,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,17000,17000,BUS
7,2,1,5,1700,2.063,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,3,33,2,U,U,17000,7000,RAIL
8,2,1,6,1735,3.883,2,HBSHOP,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,7000,17000,RAIL
9,3,1,1,2100,16.092,2,HBW,6,2,2,6,GA,1,2,1,5,5,3,4,1,1,29,1,C,U,7000,7000,RAIL
10,4,1,1,750,3.483,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,5,23,2,C,S,17000,7000,RAIL
11,4,1,2,1700,7.513,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,5,23,2,S,C,7000,17000,RAIL
12,4,1,3,1820,1.464,2,HBSOCREC,3,2,2,4,CA,2,2,1,1,9,1,4,1,10,23,2,C,C,17000,7000,WALK
13,4,1,4,1850,1.465,2,HBSOCREC,3,2,2,4,CA,2,2,1,1,9,1,4,1,10,23,2,C,C,7000,17000,WALK
14,4,2,1,800,5.231,2,HBW,3,2,2,4,CA,2,2,1,1,9,1,4,1,1,22,2,C,S,7000,1500,PASSENGER
15,4,2,2,1800,1.631,2,HBW,3,2,2,4,CA,2,2,1,1,9,1,4,1,1,22,2,S,C,1500,17000,CYCLE
16,4,2,3,1900,0.395,2,HBSHOP,3,2,2,4,CA,2,2,1,1,9,1,4,1,3,22,2,C,C,17000,17000,WALK
17,4,2,4,1950,0.395,2,HBSHOP,3,2,2,4,CA,2,2,1,1,9,1,4,1,3,22,2,C,C,17000,17000,WALK
18,4,2,5,2050,3.164,2,HBO,3,2,2,4,CA,2,2,1,1,9,1,4,1,11,22,2,C,C,17000,7000,PASSENGER
19,5,1,1,815,30.085,2,HBSOCREC,6,2,2,4,CA,1,7,1,4,9,2,3,1,8,55,1,C,C,17000,7000,RAIL
20,5,1,2,1335,13.672,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,99,55,1,C,S,7000,7000,PASSENGER
21,5,1,3,1435,15.042,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,3,55,1,S,C,7000,7000,PASSENGER
22,5,1,4,1523,1.414,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,3,1,3,55,1,C,C,7000,17000,PASSENGER
23,5,1,5,1615,0.729,2,HBSHOP,6,2,2,4,CA,1,7,1,4,9,2,3,1,8,55,1,C,C,17000,17000,PASSENGER
24,5,1,6,2200,0.5,1,HBO,6,2,2,4,CA,1,7,1,4,9,2,3,1,10,55,1,C,C,17000,17000,WALK
25,5,2,1,1030,17.592,2,HBO,6,2,2,4,CA,1,7,1,4,9,2,1,2,11,17,2,C,C,17000,7000,PASSENGER
26,5,2,2,1215,2.255,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,10,17,2,C,C,7000,17000,PASSENGER
27,5,2,3,1250,0.374,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,10,17,2,C,C,17000,17000,PASSENGER
28,5,2,4,1325,10.582,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,C,C,17000,7000,PASSENGER
29,5,2,5,1800,23.336,2,NHB,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,C,U,7000,7000,PASSENGER
30,5,2,6,2230,12.476,2,HBSOCREC,6,2,2,4,CA,1,7,1,4,9,2,1,2,8,17,2,U,C,7000,17000,PASSENGER
31,6,1,1,715,1.747,2,HBW,3,1,1,5,GA,1,1,1,5,5,1,5,1,1,43,2,U,U,17000,7000,BUS
32,6,1,2,1830,1.69,2,HBW,3,1,1,5,GA,1,1,1,5,5,1,5,1,1,43,2,U,U,7000,17000,BUS
33,7,1,1,1229,0.112,1,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,10,64,2,T,T,750,750,WALK
34,7,1,2,1630,15.605,2,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,5,64,2,T,T,750,7000,PASSENGER
35,7,1,3,2045,15.955,2,HBO,5,2,1,3,WI,0,9,1,1,3,1,2,2,5,64,2,T,T,7000,750,PASSENGER
36,8,1,1,930,2.778,1,HBO,5,2,1,2,TX,0,9,1,4,7,2,2,2,10,63,2,C,C,7000,7000,WALK
37,9,1,1,750,7.712,2,HBW,5,2,1,6,CA,1,1,1,5,9,1,5,1,1,58,2,U,S,30000,1500,OTHER
38,9,1,2,1230,0.283,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,4,58,2,S,S,1500,1500,WALK
39,9,1,3,1250,0.283,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,4,58,2,S,S,1500,1500,WALK
40,9,1,4,1730,6.292,2,HBW,5,2,1,6,CA,1,1,1,5,9,1,5,1,1,58,2,S,U,1500,30000,OTHER
41,9,1,5,1935,1.009,2,HBSHOP,5,2,1,6,CA,1,1,1,5,9,1,5,1,3,58,2,U,U,30000,30000,CYCLE
42,9,1,6,1958,1.015,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,10,58,2,U,U,30000,3000,CYCLE
43,9,1,7,2105,0.503,2,NHB,5,2,1,6,CA,1,1,1,5,9,1,5,1,8,58,2,U,U,3000,17000,CYCLE
44,9,1,8,2130,1.608,2,HBSOCREC,5,2,1,6,CA,1,1,1,5,9,1,5,1,10,58,2,U,U,17000,30000,CYCLE
45,10,1,1,800,1.641,2,HBW,6,2,3,3,NY,2,2,1,1,2,1,3,1,1,28,2,C,S,7000,750,RAIL
46,10,1,2,1400,1.641,2,HBW,6,2,3,3,NY,2,2,1,1,2,1,3,1,1,28,2,S,C,750,7000,WALK
47,10,2,1,800,1.145,2,HBW,6,2,3,3,NY,2,2,1,1,2,1,2,1,1,58,2,C,C,7000,3000,WALK
48,10,2,2,1530,1.145,2,HBW,6,2,3,3,NY,2,2,1,1,2,1,2,1,1,58,2,C,C,3000,7000,WALK
49,11,1,1,435,17.691,2,HBSHOP,1,2,1,3,CA,0,9,1,5,9,1,3,2,10,52,1,U,U,17000,3000,RAIL
50,11,1,2,855,0.821,2,NHB,1,2,1,3,CA,0,9,1,5,9,1,3,2,3,52,1,U,U,3000,7000,CYCLE
51,11,1,3,915,0.036,2,NHB,1,2,1,3,CA,0,9,1,5,9,1,3,2,10,52,1,U,U,7000,7000,WALK
52,11,1,4,1155,15.984,2,HBSOCREC,1,2,1,3,CA,0,9,1,5,9,1,3,2,10,52,1,U,U,7000,17000,BUS
53,12,1,1,1150,7.972,2,HBO,5,2,2,2,NC,1,2,2,6,5,2,2,1,4,54,2,C,R,3000,300,PASSENGER
54,12,1,2,1207,3.269,2,NHB,5,2,2,2,NC,1,2,2,6,5,2,2,1,4,54,2,R,R,300,300,PASSENGER
55,12,1,3,1215,3.596,2,NHB,5,2,2,2,NC,1,2,2,6,5,2,2,1,6,54,2,R,C,300,7000,PASSENGER
56,12,1,4,1233,0.198,2,NHB,5,2,2,2,NC,1,2,2,6,5,2,2,1,4,54,2,C,C,7000,7000,PASSENGER
57,12,1,5,1237,1.95,2,HBSHOP,5,2,2,2,NC,1,2,2,6,5,2,2,1,6,54,2,C,C,7000,3000,PASSENGER
58,12,1,6,1430,2.199,2,HBO,5,2,2,2,NC,1,2,2,6,5,2,2,1,6,54,2,C,R,3000,300,TAXI
59,12,1,7,1546,2.196,2,HBO,5,2,2,2,NC,1,2,2,6,5,2,2,1,6,54,2,R,C,300,3000,TAXI
60,12,1,8,1640,2.24,2,HBSHOP,5,2,2,2,NC,1,2,2,6,5,2,2,1,3,54,2,C,T,3000,300,TAXI
61,12,1,9,1650,0.878,2,NHB,5,2,2,2,NC,1,2,2,6,5,2,2,1,1,54,2,T,T,300,300,TAXI
62,12,1,10,2007,0.271,2,NHB,5,2,2,2,NC,1,2,2,6,5,2,2,1,3,54,2,T,T,300,300,WALK
63,12,1,11,2022,1.682,2,HBSHOP,5,2,2,2,NC,1,2,2,6,5,2,2,1,1,54,2,T,C,300,3000,TAXI
64,12,2,1,1045,0.337,2,HBO,5,2,2,2,NC,1,2,2,6,5,2,2,2,4,24,1,C,C,3000,3000,WALK
65,12,2,2,1052,0.337,2,HBO,5,2,2,2,NC,1,2,2,6,5,2,2,2,4,24,1,C,C,3000,3000,WALK
66,13,1,1,1100,22.354,2,HBO,5,2,2,1,TX,0,10,1,4,7,2,2,2,6,61,1,C,C,3000,3000,TAXI
67,13,1,2,1440,22.076,2,HBO,5,2,2,1,TX,0,10,1,4,7,2,2,2,6,61,1,C,C,3000,3000,TAXI
68,13,2,1,1330,0.578,2,HBO,5,2,2,1,TX,0,10,1,4,7,2,2,2,6,50,2,C,C,3000,3000,PASSENGER
69,13,2,2,1630,0.512,2,HBO,5,2,2,1,TX,0,10,1,4,7,2,2,2,6,50,2,C,C,3000,3000,PASSENGER
70,14,1,1,1100,0.85,2,HBSHOP,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,S,C,1500,7000,CYCLE
71,14,1,2,1545,0.666,2,NHB,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,C,C,7000,7000,CYCLE
72,14,1,3,1700,0.085,2,NHB,1,2,2,4,NY,1,2,1,1,2,-7,5,2,8,30,2,C,C,7000,7000,CYCLE
73,14,1,4,1730,0.601,2,HBSOCREC,1,2,2,4,NY,1,2,1,1,2,-7,5,2,10,30,2,C,S,7000,1500,CYCLE
74,14,2,1,1500,0.85,2,HBW,1,2,2,4,NY,1,2,1,1,2,-7,5,1,1,43,1,S,C,1500,7000,CYCLE
75,14,2,2,1930,0.85,2,HBW,1,2,2,4,NY,1,2,1,1,2,-7,5,1,1,43,1,C,S,7000,1500,CYCLE
76,15,1,1,930,2.883,2,HBO,1,2,1,2,WI,0,1,1,2,3,1,3,2,5,62,1,C,C,7000,3000,PASSENGER
77,15,1,2,1315,3.061,2,NHB,1,2,1,2,WI,0,1,1,2,3,1,3,2,10,62,1,C,C,3000,7000,PASSENGER
78,15,1,3,1500,0.686,2,HBSHOP,1,2,1,2,WI,0,1,1,2,3,1,3,2,5,62,1,C,C,7000,7000,WALK
79,16,1,1,933,0.958,2,HBW,4,2,2,7,GA,1,2,1,5,5,6,5,1,1,35,1,C,C,17000,7000,WALK
80,16,1,2,1304,0.906,2,NHB,4,2,2,7,GA,1,2,1,5,5,6,5,1,4,35,1,C,C,7000,17000,WALK
81,16,1,3,1416,0.958,2,NHB,4,2,2,7,GA,1,2,1,5,5,6,5,1,4,35,1,C,C,17000,7000,WALK
82,16,1,4,1750,0.906,2,HBW,4,2,2,7,GA,1,2,1,5,5,6,5,1,1,35,1,C,C,7000,17000,WALK
83,16,2,1,1604,0.703,2,HBO,4,2,2,7,GA,1,2,1,5,5,6,5,2,4,35,2,C,C,17000,17000,WALK
84,16,2,2,1631,0.932,2,HBO,4,2,2,7,GA,1,2,1,5,5,6,5,2,4,35,2,C,C,17000,17000,WALK
85,16,2,3,1727,0.958,2,HBO,4,2,2,7,GA,1,2,1,5,5,6,5,2,4,35,2,C,C,17000,7000,WALK
86,16,2,4,1751,0.906,2,HBO,4,2,2,7,GA,1,2,1,5,5,6,5,2,4,35,2,C,C,7000,17000,WALK
87,17,1,1,850,4.105,2,HBSOCREC,6,1,1,5,TX,0,9,1,4,7,1,5,2,8,64,1,S,S,3000,1500,DRIVE
88,17,1,2,2225,4.105,2,HBSOCREC,6,1,1,5,TX,0,9,1,4,7,1,5,2,8,64,1,S,S,1500,3000,DRIVE
89,18,1,1,1000,10.483,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,S,-9,1500,PASSENGER
90,18,1,2,1145,10.918,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,S,-9,1500,-9,PASSENGER
91,18,1,3,1210,1.225,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
92,18,1,4,1230,10.154,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
93,18,1,5,1500,10.0,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
94,18,1,6,1530,1.225,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,4,28,2,-9,-9,-9,-9,PASSENGER
95,18,1,7,1545,1.216,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,28,2,-9,-9,-9,-9,PASSENGER
96,18,1,8,1640,2.857,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
97,18,1,9,1700,1.324,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,28,2,-9,-9,-9,-9,PASSENGER
98,18,2,1,1230,10.153,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,2,2,3,30,1,-9,-9,-9,-9,PASSENGER
99,18,2,2,1500,10.0,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,30,1,-9,-9,-9,-9,PASSENGER
100,18,2,3,2150,1.225,2,HBSOCREC,2,2,3,2,NY,0,6,2,6,2,1,2,2,8,30,1,-9,-9,-9,-9,DRIVE
101,18,3,1,1230,10.153,2,HBSHOP,2,2,3,2,NY,0,6,2,6,2,1,-1,-1,3,10,1,-9,-9,-9,-9,PASSENGER
102,18,3,2,1500,10.0,2,NHB,2,2,3,2,NY,0,6,2,6,2,1,-1,-1,8,10,1,-9,-9,-9,-9,PASSENGER
103,19,1,1,1050,0.131,2,HBO,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,4,69,2,U,U,30000,30000,WALK
104,19,1,2,1056,0.158,2,NHB,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,3,69,2,U,U,30000,30000,WALK
105,19,1,3,1125,0.097,2,NHB,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,3,69,2,U,U,30000,30000,WALK
106,19,1,4,1140,0.139,2,NHB,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,3,69,2,U,U,30000,30000,WALK
107,19,1,5,1210,0.111,2,NHB,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,3,69,2,U,U,30000,30000,WALK
108,19,1,6,1230,0.121,2,HBSHOP,3,-7,1,-7,NY,0,9,1,5,2,1,5,2,3,69,2,U,U,30000,30000,WALK
109,20,1,1,800,1.373,2,HBSOCREC,2,2,1,4,WI,1,1,1,2,3,1,4,1,10,23,1,C,C,7000,7000,CYCLE
110,20,1,2,940,0.602,2,NHB,2,2,1,4,WI,1,1,1,2,3,1,4,1,1,23,1,C,C,7000,7000,CYCLE
111,20,1,3,1043,0.674,2,NHB,2,2,1,4,WI,1,1,1,2,3,1,4,1,11,23,1,C,C,7000,7000,CYCLE
112,20,1,4,1327,0.674,2,NHB,2,2,1,4,WI,1,1,1,2,3,1,4,1,11,23,1,C,C,7000,7000,CYCLE
113,20,1,5,1719,1.574,2,HBW,2,2,1,4,WI,1,1,1,2,3,1,4,1,1,23,1,C,C,7000,7000,CYCLE
114,20,1,6,1743,0.298,2,HBSHOP,2,2,1,4,WI,1,1,1,2,3,1,4,1,4,23,1,C,S,7000,3000,WALK
115,20,1,7,1813,0.297,2,HBSHOP,2,2,1,4,WI,1,1,1,2,3,1,4,1,4,23,1,S,C,3000,7000,WALK
116,21,1,1,1300,3.863,2,HBSHOP,7,2,1,1,NY,1,1,1,1,2,1,3,1,10,62,1,C,S,7000,3000,RAIL
117,21,1,2,1430,0.698,2,NHB,7,2,1,1,NY,1,1,1,1,2,1,3,1,1,62,1,S,S,3000,3000,WALK
118,21,1,3,2030,4.918,2,HBW,7,2,1,1,NY,1,1,1,1,2,1,3,1,1,62,1,S,C,3000,7000,OTHER
119,22,1,1,810,0.667,1,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,10,46,1,C,C,7000,7000,WALK
120,22,1,2,826,1.703,2,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,6,46,1,C,C,7000,3000,RAIL
121,22,1,3,1145,0.29,2,NHB,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,3000,WALK
122,22,1,4,1615,0.424,2,NHB,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,3000,WALK
123,22,1,5,1720,1.156,2,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,4,46,1,C,C,3000,7000,RAIL
124,22,1,6,1921,2.222,1,HBO,6,1,1,1,TX,0,1,2,6,7,1,3,2,10,46,1,C,C,7000,7000,WALK
125,23,1,1,900,6.647,2,HBO,1,2,1,2,CA,0,9,1,5,9,2,3,2,5,72,1,U,U,17000,3000,RAIL
126,23,1,2,1215,11.83,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,8,72,1,U,U,3000,3000,BUS
127,23,1,3,1345,11.133,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,3,72,1,U,U,3000,17000,BUS
128,23,1,4,1440,5.718,2,NHB,1,2,1,2,CA,0,9,1,5,9,2,3,2,3,72,1,U,U,17000,17000,RAIL
129,23,1,5,1545,1.95,2,HBSHOP,1,2,1,2,CA,0,9,1,5,9,2,3,2,5,72,1,U,U,17000,17000,RAIL
130,24,1,1,1200,7.415,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,50,300,PASSENGER
131,24,1,2,1220,0.29,2,NHB,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,300,300,PASSENGER
132,24,1,3,1228,7.154,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,1,2,3,23,1,R,R,300,50,PASSENGER
133,24,2,1,600,10.361,2,HBW,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,1,54,2,R,R,50,50,PASSENGER
134,24,2,2,1800,10.361,2,HBW,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,1,54,2,R,R,50,50,PASSENGER
135,24,2,3,1930,7.415,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,3,54,2,R,R,50,300,PASSENGER
136,24,2,4,2040,7.422,2,HBSHOP,6,1,4,-8,NC,1,4,4,6,5,97,-8,1,3,54,2,R,R,300,50,PASSENGER
137,24,3,1,720,7.968,2,HBO,6,1,4,-8,NC,1,4,4,6,5,97,-1,-1,5,8,1,R,R,50,300,RAIL
138,24,3,2,1530,7.997,2,HBO,6,1,4,-8,NC,1,4,4,6,5,97,-1,-1,5,8,1,R,R,300,50,RAIL
139,25,1,1,1100,0.218,2,HBSHOP,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
140,25,1,2,1135,0.169,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
141,25,1,3,1230,0.196,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
142,25,1,4,1250,0.111,2,NHB,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
143,25,1,5,1320,0.06,2,HBSHOP,5,2,1,5,NY,0,1,2,6,2,3,5,2,3,37,2,T,T,7000,7000,WALK
144,25,1,6,1930,2.0,1,HBO,5,2,1,5,NY,0,1,2,6,2,3,5,2,10,37,2,T,T,7000,7000,WALK
