Number of segments: 4					
Number of stores: 10
Number of vehicles: 4					
Vehicles capacity: 400	
Basic compartment size:20				


%%%%%%%%%%%%%%%%%%%%%%%%%

Segment	 Store  Demand					
1	 1	 20	 	
2	 1	 20		
3	 1	 40		
4	 1	 60		
1	 2	 10		
2	 2	 10		
3	 2	 40		
4	 2	 30		
1	 3	 10		
2	 3	 10		
3	 3	 30		
4	 3	 40		
1	 4	 20		
2	 4	 30		
3	 4	 30		
4	 4	 30		
1	 5	 20		
2	 5	 20	
3	 5	 30		
4	 5	 50		
1	 6	 20		
2	 6	 50		
3	 6	 30		
4	 6	 50		
1	 7	 20		
2	 7	 30		
3	 7	 40		
4	 7	 40		
1	 8	 10		
2	 8	 40		
3	 8	 40		
4	 8	 40		
1	 9	 10		
2	 9	 20		
3	 9	 50		
4	 9	 60		
1	 10	 50		
2	 10	 10		
3	 10	 30		
4	 10	 30	



